C_Percentage,H_Percentage,N_Percentage,S_Percentage,O_Percentage,HHV
50.4,6.2,0.5,0.01,42.5,20.4
52.3,6.1,0.2,0.03,41.3,20.7
48.3,5.7,0.2,0.04,45.1,19.2
48.75,5.93,0.6,0.12,39.32,18.43
49,6.71,3.94,0.22,35.1,20.83
47.95,6.34,2.82,0.2,36.11,19.82
48.6,6.8,0.94,0.22,35,21.29
37.3,5.3,1.6,0.45,29.5,16.23
48.4,7.6,0.51,0.35,38.8,22.61
44.2,5.3,1.8,0.81,14.4,17.3
45.56,6.24,2.29,0,36.19,18.63
47.03,5.96,1.79,0.19,38.42,16.9
34.7,4.76,0.14,0.2,35.2,17.44
35.69,4.73,6.26,1.15,20.08,16.62
20.62,2.87,0.5,0.01,4,9.1
34.6,4.3,1.07,0.38,41.1,16.52
47.63,6.41,0.97,0.08,44.92,20.54
48.61,6.41,2,0.05,46.32,20.39
52.27,7.49,0.06,0.1,40.1,20.61
35.4,5.04,1.79,0.4,27.58,15.93
50.2,5.6,1.1,0.07,43.1,19.1
44.62,5.99,0.51,0.25,48.62,18.21
45.65,5.86,0.52,0.05,42.23,18.88
46.03,5.92,0.44,0.04,42.13,18.74
45.26,5.78,0.5,0.04,42.53,18.75
45.72,5.8,0.51,0.05,40.96,18.65
45.19,5.71,0.6,0.04,42.07,18.85
45.1,5.66,0.62,0.05,41.84,18.52
45.6,5.64,0.61,0.05,41.22,19.22
45.31,5.7,0.57,0.04,42.26,19.16
45.54,5.63,0.56,0.05,41.89,19.23
45.31,5.6,0.58,0.04,41.63,19.43
47.35,5.27,0.76,0.06,39.13,19.26
47.92,5.37,0.68,0.04,39.36,19.07
48.01,5.07,0.74,0.05,39.14,19.87
48.36,5.14,0.75,0.05,39.13,19.58
48.94,4.99,0.69,0.05,37.82,19.91
48.49,6.62,0,0,38.11,19.15
56.12,4.63,0,0,29.97,21.73
47.03,5.96,1.79,0.19,38.42,16.9
47.17,5.99,2.68,0.2,38.19,18.67
38.24,5.2,0.87,0.18,36.26,15.09
46.68,5.82,0.77,0.19,37.38,18.06
50.18,6.06,0.6,0.02,40.43,19.02
47.53,5.97,1.13,0.06,39.16,18.89
49.59,5.79,2.43,0.74,28.87,18.4
52.53,6.6,5.35,0.66,32.28,21.95
31.1,4.2,3.3,1.1,24.3,13.9
27.5,4.1,4,1.1,23.3,13.2
26.4,4.1,4.3,0.9,23.7,12.6
23.9,3.9,3.8,1.3,21.8,11
20.9,3.4,3.3,0.9,21.7,10.1
18,2.9,2.3,0.8,16.7,9.4
19.5,3.2,3.1,0.8,19.4,8.7
14.5,2.6,2.6,1.2,18.1,6.9
15.3,2.5,2.3,0.5,17.7,6.5
12.7,2,1.8,0.6,17.5,5.7
9,2.2,1.5,1.6,18.2,3.5
29.6,4.6,5,1,21.5,12.8
25.5,3.9,4.2,1,21.7,12.4
25,3.8,3.7,0.8,24.3,11.1
19,3,2.7,1.2,16.8,8.2
25.1,4,3.8,0.9,26.1,10.9
22.6,3.2,2.9,2,20.3,9.9
44.52,5.68,0.1,0.12,41.18,16.9
32.83,3.46,0.1,0.04,35.58,10.4
49.6,6.4,0.72,0.24,35.7,18.463
43.41,5.82,0.25,0.2,44.32,17.602
48.82,6.21,0.15,0.25,42.35,19.296
44.74,6.1,0.15,0.16,41.92,17.978
55,6.6,4.6,0.2,31.2,19.161
47.88,5.97,1.49,1.3,12.86,21.791
83.96,7.93,0.97,1.14,6,37.82
59.2,8.22,0.52,0,26.75,27.633
40.84,6.27,0.83,0.17,27.68,18.188
38.96,5.86,1.13,0.23,25.9,16.311
46.75,6.35,0.67,0.1,38.05,19.485
92,8,0,0,0,44.5
85.7,14.2,0.05,0,0.05,46.6
86.1,13.7,0,0,0.2,46.4
81.6,13.6,0.1,0.2,1.9,43.794
86.3,7.9,0.28,0.3,3.4,39.479
44.2,5.9,0.26,0.89,7.6,23.632
63.27,6.26,5.99,0.2,17.65,26.162
82.61,14.01,0.74,0,2.64,44.81
52.1,6.1,0.2,0,41,20
49.37,6.4,2.02,0,42.01,18.502
45,5.6,1.5,0.17,37.7,17.982
40.7,5,1.3,0.1,40,17.182
50.3,5.6,0.2,0,43.6,20.3
47.2,5.5,0.2,0.01,46.8,18.7
50.46,5.97,0.15,0.05,42.37,20.063
42.52,5.9,2,0.05,41.2,18.4
48.51,6.54,1.71,0.19,40.44,20.316
46.65,6.61,1.21,0.26,40.18,18.667
49.4,6.1,0.1,0.1,43.7,19.295
42.35,5.33,1.62,0.24,31.89,16.935
47.8,6,3.4,0.3,38,16.283
48.6,5.8,0.2,0.05,45.3,18.3
46.8,5.8,0.2,0.06,46.1,18.6
41.73,5.39,1.53,0.14,47.48,19.247
46.2,6.1,1.9,0.36,33.3,20.232
49.7,6.6,2,0.33,34.3,20.8
50.3,6.3,0.3,0.07,43.1,18.5
46.94,6.44,1.27,0.86,43.56,16.49
45.88,5.9,0.5,0.05,41.52,18.59
45.76,5.9,0.46,0.04,41.67,18.69
46.09,5.88,0.47,0.06,41.91,18.86
46.02,5.85,0.48,0.06,42.11,18.99
53.16,6.25,0.3,0.09,40,19.5
49.9,5.9,0.61,0.07,41.8,19.59
10.6,2,1.6,0.4,15.7,4.3
26.7,4,4.3,0.7,27.5,13.3
18.3,3.4,1.8,1.8,18.7,9
